ID,First Name,Last Name,County,Zone,Pickup Time,Pickup Day
55,Heather,Wood,Sabine County,T,16:12:27,Thursday
56,Billy,Hill,Sherman County,U,14:41:32,Tuesday
57,Martin,Bell,Wheeler County,A,19:16:49,Tuesday
58,Juan,Thompson,Ellis County,M,08:02:45,Monday
59,Roger,Edwards,Kerr County,H,19:27:39,Saturday
60,Clarence,Hill,Zapata County,E,19:01:14,Friday
61,Arthur,Allen,Caldwell County,Q,20:39:02,Wednesday
62,Rebecca,Price,Baylor County,L,09:12:28,Wednesday
63,Cynthia,Butler,Briscoe County,W,12:03:32,Thursday
64,Anna,Foster,Deaf Smith County,A,09:02:02,Thursday
65,Victor,Henderson,Karnes County,U,22:33:50,Wednesday
66,Denise,Morgan,Oldham County,I,20:46:00,Tuesday
67,Laura,Smith,Roberts County,O,12:50:44,Saturday
68,Adam,King,Denton County,T,15:18:40,Thursday
69,Fannie,Coleman,Martin County,Z,20:37:31,Friday
70,Peter,Carter,Ellis County,P,22:11:03,Saturday
71,Walter,Walker,Carson County,Q,11:30:06,Saturday
72,Howard,Watson,Brooks County,W,12:06:49,Saturday
73,Jennifer,Harris,Floyd County,A,11:46:32,Monday
74,Edward,Harris,McMullen County,Y,21:20:19,Monday
75,Todd,Martin,Borden County,J,10:38:26,Saturday
76,Walter,Carter,Hudspeth County,Y,13:53:01,Friday
77,Keith,Foster,Rusk County,V,12:42:04,Sunday
78,Justin,Thompson,Mills County,R,21:10:29,Wednesday
79,John,Sullivan,Hardeman County,P,22:52:21,Saturday
80,Connie,Baker,Brewster County,J,09:59:02,Monday
81,Benjamin,Cox,Clay County,S,19:13:31,Wednesday
82,Martin,Rogers,Crosby County,C,14:44:31,Tuesday
83,Grace,Harris,Bell County,H,09:28:18,Saturday
84,Robert,Perry,Limestone County,B,15:04:33,Tuesday
85,Stephen,Scott,Kimble County,A,16:02:21,Tuesday
86,Kathryn,Watson,Shackelford County,G,15:29:10,Thursday
87,Julia,Nelson,Willacy County,D,15:30:59,Tuesday
88,Eugene,Ford,Willacy County,S,22:03:48,Wednesday
89,Norma,Perry,Culberson County,C,19:23:34,Sunday
90,Andrew,Brown,Smith County,G,14:00:36,Monday
91,Norma,Powell,Jasper County,D,19:02:50,Wednesday
92,Kathryn,Brown,DeWitt County,D,17:27:52,Wednesday
93,Roy,Parker,Frio County,L,13:32:46,Friday
94,Michael,Carter,Bosque County,D,19:40:21,Sunday
95,Doris,Garcia,Bowie County,C,14:55:30,Wednesday
96,Dennis,Richardson,Stonewall County,E,16:02:26,Wednesday
97,Keith,Murphy,Kenedy County,U,12:30:50,Wednesday
98,Joseph,Martinez,Comanche County,U,11:02:30,Wednesday
99,Virginia,Gonzales,Walker County,U,22:21:10,Friday
100,Heather,Watson,Tarrant County,F,15:51:00,Monday
